"P1","P2","P3","P4","Hypothesis","GoldLabel"
"A brown dog walks down a grass hill.","A brown dog walks down a dirt hill.","A black dog walks down a grass hill.","A black dog walks down a dirt hill.","Two dogs are laying on the rug.","contradiction"
"A woman with a green sweater is looking at another woman with star - shaped earrings.","A woman with a green sweater is looking at another woman with pinned up hair.","A woman with straight brown hair is looking at another woman with star - shaped earrings.","A woman with straight brown hair is looking at another woman with pinned up hair.","The two woman are discussing their relationships.","neutral"
"a woman are sitting at a table with jars of cigarettes.","a woman are sitting at a table with jars of beer.","A man are sitting at a table with jars of cigarettes.","A man are sitting at a table with jars of beer.","THe people are smoking","neutral"
"a seated couple comprised of a man in a dark suit.","a woman wearing a long white dress.","a seated couple comprised of a woman.","A lady brings a drink to a seated couple.","The man and woman are currently eating breakfast.","contradiction"
"An African - American man in a tan pants is sitting outside with buckets.","An African - American man in a tan pants is sitting outside with drumsticks.","An African - American man in a black sweatshirt is sitting outside with buckets.","An African - American man in a black sweatshirt is sitting outside with drumsticks.","a man is reciting poetry at a soccer match","contradiction"
"a toddler girl holding a bottle of cold water.","a toddler girl eating a cookie.","a toddler girl wearing a dress.","Here is a picture of a toddler girl.","A little child is eating and drinking.","neutral"
"Two young men are sitting in laughing.","Two young men are sitting in a vehicle.","one wearing a white shirt.","one wearing a blue shirt.","Two people are laughing at a joke in a car.","neutral"
"A man in pants walks across an athletic field.","A man in beige walks across an athletic field.","A man in blue shirt walks across an athletic field.","A man in sunglasses walks across an athletic field.","This man is the coach.","neutral"
"A clothed male adults crocheting separately from a orange yarn ball while sitting in chairs of wood.","A clothed male adults crocheting separately from a blue yarn ball while sitting in chairs of wood.","A clothed female adults crocheting separately from a orange yarn ball while sitting in chairs of wood.","A clothed female adults crocheting separately from a blue yarn ball while sitting in chairs of wood.","There is a group of people working in a factory.","contradiction"
"A group of young men in shorts are assembling other wooden items.","A group of young men in shorts are assembling a bench.","A group of young men in shirts are assembling other wooden items.","A group of young men in shirts are assembling a bench.","The men are wearing long jeans.","contradiction"
"women in denim pants walk uphill.","women in cotton shirts walk uphill.","Eleven men in denim pants walk uphill along a shaded forest trail.","Eleven men in cotton shirts walk uphill.","A group of people walk through up a hill in the woods.","entailment"
"black dogs on snow barking at each other.","black dogs on snow showing teeth.","Brown dogs on snow barking at each other.","Brown dogs on snow showing teeth.","The dogs are playing","neutral"
"A man wearing a pink hat.","A man wearing a white jacket.","A man holding a microphone.","A man is on stage singing.","The man is performing a song.","entailment"
"Standing at a podium in front of old gentleman uses a screen to communicate to other men in the audience.","Standing at a podium in front of old gentleman uses a screen to communicate to other men at a table.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men in the audience.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men at a table.","The old gentleman is having trouble learning how to use the screen to communicate.","neutral"
"A man in a yellow jacket stands in a street with people behind him on the sidewalk.","a yellow jacket holding a religious sign.","A man in a blue jacket stands in a street with people behind him on the sidewalk.","a blue jacket holding a religious sign.","the guy ran to his house quickly","contradiction"
"A man in sunglasses talking on a cellphone.","A man in sunglasses stands in front of a parking lot.","A man in a business suit talking on a cellphone.","A man in a business suit stands in front of a parking lot.","A man is coming back to work from lunch.","neutral"
"three children looking at a picture on a digital camera.","three children gathered on the floor.","One adult looking at a picture on a digital camera.","One adult gathered on the floor.","People are looking at a photograph.","entailment"
"one young woman are standing around a table at a bowling alley.","Six young man are standing around a table at a bowling alley.","one young woman are sitting .","Six young man are sitting .","A bowling team discuss their win around a table at a bowling alley.","neutral"
"woman protesters displaying posters against censorship of photographers.","woman protesters displaying posters against censorship of photographs.","Male protesters displaying posters against censorship of photographers.","Male protesters displaying posters against censorship of photographs.","People, both male and female are protesting censorship of photography.","entailment"
"a young girl playing Monopoly.","a young girl are sitting together at a table.","A woman playing Monopoly.","A woman are sitting together at a table.","Two people are playing a board game together.","entailment"
"a woman accompanied by a dog.","a woman are sitting at a table at the edge of a street.","A man accompanied by a dog.","A man are sitting at a table at the edge of a street.","Humans sitting.","entailment"
"A man with a cowboy hat sits on a milk crate.","A man with sunglasses sits on a milk crate.","A man with long blond - hair sits on a milk crate.","A man plays a guitar.","The man is teaching an elephant to balance on one foot.","contradiction"
"three dogs are standing along a concrete planter near an intersection.","a sign saying Traveling.","an intersection playing music in front of an open guitar case with a sign.","Four people are standing along a concrete planter near an intersection.","A group is playing instruments.","entailment"
"A boy with white shorts on a bike to look behind himself.","A boy with white shorts on a bike is turning .","A boy with a black shirt on a bike to look behind himself.","A boy with a black shirt on a bike is turning .","The boy falls off his bike.","contradiction"
"a woman are talking in the sun.","A man are talking in the sun.","a woman are walking along a sidewalk.","A man are walking along a sidewalk.","There are two people having a walk outside.","entailment"
"A boy with white shorts on a bike to look behind himself.","A boy with white shorts on a bike is turning .","A boy with a black shirt on a bike to look behind himself.","A boy with a black shirt on a bike is turning .","The boy is racing on his bike.","neutral"
"a pedal pushers standing on a sidewalk with a popsicle.","A child dressed in a pedal pushers.","a t - shirt pushers standing on a sidewalk with a popsicle.","A child dressed in a t - shirt pushers.","A little girl throws a ball during t-ball practice.","contradiction"
"A girl in a green tie has a strange looking critter on her hand.","a green tie dyed .","A girl in a blue tie dyed hat has a strange looking critter on her hand.","A girl in a yellow tie has a strange looking critter on her hand.","The colorfully dressed girl is holding an animal in her hand.","entailment"
"Three men with a man in robe are in a room.","Three men with matching hats are in a room.","Three men with matching pants are in a room.","Three men with matching shirts are in a room.","dog looks at fish","contradiction"
"other vehicles families are sitting under canopies.","Minivans families are sitting under canopies.","other vehicles are parked beside the road.","Minivans are parked beside the road.","The families are celebrating a birthday.","neutral"
"older brunet woman walking down a street observing.","older brunet woman walking down a street talking.","A young blond woman brunet woman walking down a street observing.","A young blond woman brunet woman walking down a street talking.","The women are outdoors on a street.","entailment"
"A white dog is jumping .","A black dog is jumping .","A white dog has a red toy in his mouth.","A black dog has a red toy in his mouth.","The dog is chasing a bicycle.","contradiction"
"a guy are talking with each other in front of a whiteboard.","Three girls are talking with each other in front of a whiteboard.","a guy are laughing .","Three girls are laughing .","A group of people laughing and talking indoors.","entailment"
"a woman having a conversation.","a woman are sitting on the base of fence.","A man having a conversation.","A man are sitting on the base of fence.","Two people sled down a hill.","contradiction"
"A boy with a blue bag on his bag is passing through a crowd of people.","A boy with a brown shirt is passing through a crowd of people.","A boy with a long shorts is passing through a crowd of people with his white checkered umbrella.","A boy with a long shorts is passing through a crowd of people with his green checkered umbrella.","The boy is sitting watching a game of football.","contradiction"
"some the items is selling he.","a stand making bubbles with some the items.","Some people are watching a owner of a stand.","Some people are watching a little girl.","The owner and his son are watching an old and drunk lady waste their bubble making product by pouring it on the ground, in the empty store.","contradiction"
"Two young men in white suits raise smile in a bar.","Two young men in white suits raise their arms.","Two young men in sunglasses raise smile in a bar.","Two young men in sunglasses raise their arms.","Young men in hate clap their hands.","contradiction"
"A young boy with skin leaning out of a window of a white bus with orange stripes.","A young boy with skin leaning out of a window of a white bus with green stripes.","dark hair leaning out of a window of a white bus with orange stripes.","dark hair leaning out of a window of a white bus with green stripes.","A girl tosses a ball.","contradiction"
"Two men in hard hats standing by a post.","Two men in hard hats are at a parking garage in the UK.","Two men in orange vests standing by a post.","Two men in orange vests are at a parking garage in the UK.","Two men wear safety clothing.","entailment"
"A man in a woman in a white blouse are spreading jelly on their biscuits.","A man in a woman in a white blouse are spreading butter on their biscuits.","A man in a white shirt are spreading jelly on their biscuits.","A man in a white shirt are spreading butter on their biscuits.","People are throwing away food.","contradiction"
"A man with a black striped shirt is pulling a cart full of brooms.","A man with a black striped shirt is pulling a cart full of blue buckets.","A man with a red white striped shirt is pulling a cart full of brooms.","A man with a red white striped shirt is pulling a cart full of blue buckets.","The man is driving his car.","contradiction"
"a man is preparing a fishing rod.","A woman is preparing a fishing rod.","a man are outside near a body of water.","A woman are outside near a body of water.","The fishing boat has two people.","contradiction"
"a man in jeans walk past a white wall mural.","a man in jeans walk past a black wall mural.","A woman in high heels walk past a white wall mural.","A woman in high heels walk past a black wall mural.","A woman and man are playing a game of tennis.","contradiction"
"A young boy with skin leaning out of a window of a white bus with orange stripes.","A young boy with skin leaning out of a window of a white bus with green stripes.","dark hair leaning out of a window of a white bus with orange stripes.","dark hair leaning out of a window of a white bus with green stripes.","A funny person is leaning","neutral"
"Standing at a podium in front of old gentleman uses a screen to communicate to other men in the audience.","Standing at a podium in front of old gentleman uses a screen to communicate to other men at a table.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men in the audience.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men at a table.","An old man communicates with men in the audience.","entailment"
"the other man holding a drill.","the other man is wearing a black shirt.","one man is wearing a white shirt.","Two men work on a metal roof in the sunlight.","Men are repairing a blue metal roof outside.","neutral"
"the other sitting in a chair take a break outside.","one take a break outside.","one lying down.","Two workers take a break outside.","The workers are relaxing and eating lunch","neutral"
"the street wearing black hat.","the street wearing black tie.","the street wearing a white shirt.","An elderly gentlemen walking down the street.","The elderly gentleman was walking to his daughter's house.","neutral"
"black boots is walking down the street.","A black - haired woman in a white skirt is walking down the street.","black boots is carrying a red bag.","A black - haired woman in a white skirt is carrying a red bag.","The black-haired woman is going shopping.","neutral"
"a canine looking out into the distance.","a canine both stand on a snowy plane.","A man looking out into the distance.","A man stand on a snowy plane.","The man only has a cat.","contradiction"
"a man walking down a wood path toward a beach bag.","water carrying a towel.","a man walking down a wood path toward water.","a man wearing sandal.","Man working out in his gym","contradiction"
"Man in white t - shirt being passed from person to person at concert.","Man in white t - shirt holding a microphone.","Man in jeans being passed from person to person at concert.","Man in jeans holding a microphone.","A man holding a trumpet is getting passed around by people at a concert.","contradiction"
"women are looking together very happy.","A man are looking together very happy.","women are posing for the camera.","A man are posing for the camera.","One man sad in front of a camera.","contradiction"
"Football players in orange uniforms are hugging each other.","Football players in blue uniforms are hugging each other.","Football players in orange uniforms are huddled together.","Football players in blue uniforms are huddled together.","A football team celebrating a score.","neutral"
"woman are on a white rowboat.","woman are on a gray rowboat.","A man are on a white rowboat.","A man are on a gray rowboat.","a couple sits in a boat","entailment"
"women putting siding up.","women standing on a board.","Men putting siding up.","Men standing on a board.","A group of people are destroying a house.","contradiction"
"Bicyclist riding on a grass field wearing a yellow uniform.","Bicyclist riding on a grass field wearing a red uniform.","Bicyclist riding on a grass field wearing a helmet.","Bicyclist riding on a grass field wearing shades.","A bicyclist is happily riding.","neutral"
"A man in tie is standing on a sidewalk.","A man in pants is standing on a sidewalk.","a sidewalk holding a green shopping bag.","A man in a dress shirt is standing on a sidewalk.","woman listens to ipod","contradiction"
"woman are riding scooters through a field of clover.","woman are riding scooters through a field of grass.","a man are riding scooters through a field of clover.","a man are riding scooters through a field of grass.","The man and woman are in a relationship.","neutral"
"a guy wrapping gifts.","a guy are sitting down .","A lady wrapping gifts.","A lady are sitting down .","The people are opening presents.","contradiction"
"Two men wearing hats.","Two men wearing black clothes.","one is playing the trumpet.","one is playing the saxophone.","A man hails a cab.","contradiction"
"a woman kissing .","a woman are standing in the ocean.","A man kissing .","A man are standing in the ocean.","A man and woman lying in bed together.","contradiction"
"a wheelchair holding a gray cane.","A man in a wheelchair sits in front of some trees.","A man in a wheelchair sits in front of some bushes.","a wheelchair wearing a brown jacket.","A man is waiting for his ride","neutral"
"A man in pointy shoes sits on the steps.","A man in a Hawaiian shirt sits on the steps.","the steps peering over his glasses.","A man in a blue jeans sits on the steps.","A man is sitting on the steps, watching a parade pass by.","neutral"
"A group of three men sit .","A group of three women sit .","A group looking at something in the distance.","A group stand near a white fence.","The group of people all watch as a storm moves in.","neutral"
"orange hard hats looking at a recently sawed down tree.","orange hard hats are standing on a hillside.","Two men in plaid shirts looking at a recently sawed down tree.","Two men in plaid shirts are standing on a hillside.","Two men look at the barn they just tore down.","contradiction"
"An old man with glasses smiling .","An old man with glasses is sitting on a bench.","An old man with beard smiling .","An old man with beard is sitting on a bench.","A woman is sitting on a bench.","contradiction"
"pool marked for woman watch in background.","pool marked for man watch in background.","pool marked for distance watch in background.","Dog leaps into pool.","The dog is a german shepherd.","neutral"
"a man walking down a wood path toward a beach bag.","water carrying a towel.","a man walking down a wood path toward water.","a man wearing sandal.","A man is driving into the city.","contradiction"
"A girl with braces is posing with a wooden robot.","A girl with black hair is posing with a wooden robot.","A girl with braces is wearing sunglasses.","A girl with black hair is wearing sunglasses.","The girl is young.","neutral"
"Standing at a podium in front of old gentleman uses a screen to communicate to other men in the audience.","Standing at a podium in front of old gentleman uses a screen to communicate to other men at a table.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men in the audience.","Standing at a podium in front of a colorful mural uses a screen to communicate to other men at a table.","A man talking to himself on a podium.","contradiction"
"a lip piercing looking at her pink iPhone.","a lip piercing is sitting down .","A woman with glasses looking at her pink iPhone.","A woman with glasses is sitting down .","The woman is standing by the ocean.","contradiction"
"A team wearing red shorts.","A team wearing blue shorts.","A team wearing blue shirts.","A team is huddled up on the playing field.","A soccer team discusses strategy in a huddle.","neutral"
"a woman pretend to smoke large , fake cigars.","A man pretend to smoke large , fake cigars.","a woman wear funny masks.","A man wear funny masks.","A couple is at a Halloween party.","neutral"
"orange work hat walking down a hallway.","orange jacket walking down a hallway.","There is a man in orange pants.","a man in orange pants walking down a hallway.","the man is a cook","neutral"
"A group of children ride their bikes down a path.","children strapped in safety helmets.","A group of parents ride their bikes down a path.","parents strapped in safety helmets.","A family goes swimming together.","contradiction"
"Two sitting in front of a blue picket fence on the side of a street.","Two young sitting in front of a green picket fence on the side of a street.","Two sitting in front of a red picket fence on the side of a street.","Two young girls in purple tops smiling .","A girl puts together a box.","contradiction"
"woman protesters displaying posters against censorship of photographers.","woman protesters displaying posters against censorship of photographs.","Male protesters displaying posters against censorship of photographers.","Male protesters displaying posters against censorship of photographs.","A teenager takes a driving test at the DMV.","contradiction"
"A man sits next to number on a white wall.","A man sits next to number on a blue wall.","A man sits next to graffiti on a white wall.","A man sits next to graffiti on a blue wall.","A man is standing in an art museum.","contradiction"
"People out being walked .","People out the little boy to be a little frightened of the dog.","People out the little boy seems .","People out walking .","A young boy is punching a dog.","contradiction"
"A group of young children watching a woman in a white t - shirt.","young children watching a woman in brown shorts.","A group of young children are gathered together.","young children wearing backpacks.","Ten kids wear backpacks.","neutral"
"a hat sitting on the ground.","A man in a uniform with black sunglasses stands behind a man with a hat.","a red shirt sitting on the ground.","A man in a uniform with black sunglasses stands behind a man with a red shirt.","Two men in jeans are doing a line dance.","contradiction"
"women relax .","Tattooed men relax at a park.","women kick back.","Tattooed men kick back.","The people are friends","neutral"
"a keyboardist are on a stage.","two guitarists are on a stage.","a stage performing music.","Three women are on a stage.","A group of people are performing.","entailment"
"A blond man in a tie is standing next to a smiling.","A blond man in a dress shirt is standing next to a smiling.","A blond man in a tie is standing next to a fence.","A blond man in a dress shirt is standing next to a fence.","The man is standing outside.","entailment"
"a baby sitting on a porch.","Girl with arms crossed a man with a baby.","a gray beard holding a glass.","Girl with arms crossed a man with a gray beard.","It is a nice day outside.","neutral"
"Boys are selling other items on the sidewalk.","Boys are selling mugs.","Boys are selling drinks.","Boys are selling flowers.","Boy out shopping at a mall.","contradiction"
"A little boy with a headset is wearing a black shirt with a gray shorts.","A little boy with a headset is wearing a black shirt with a number on it.","A little boy with a blue goggles is wearing a black shirt with a gray shorts.","A little boy with a blue goggles is wearing a black shirt with a number on it.","A child wears clothes and goggles.","entailment"
"A group of men wearing white costume.","one man is in yellow.","A group of men wearing green costume.","men dancing on the street.","People are behaving festively outdoors.","entailment"
"A large group of people wearing hats.","A large group of people wearing blankets.","A large group of people wearing sweatshirts.","A large group of people sit outside.","A crowd of people wear blankets and hats while cheering on the football team.","neutral"
"A blond woman strumming singing into a microphone.","A blond woman strumming an acoustic guitar into a microphone.","A blond woman to be on stage.","A blond woman appears .","A woman is performing music.","entailment"
"a security guard are talking outside a glass building.","A businessman are talking outside a glass building.","a security guard are smiling .","A businessman are smiling .","People are telling jokes.","neutral"
"three children looking at a picture on a digital camera.","three children gathered on the floor.","One adult looking at a picture on a digital camera.","One adult gathered on the floor.","A group of people look at a picture on a camera","entailment"
"A man in jeans to be working on some piping system.","A man in jeans appears .","A man in a black shirt to be working on some piping system.","A man in a black shirt appears .","A man working on some old pipes after being told they needed repairing.","neutral"
"A man with white shorts is walking near a man with a black pants down a busy street.","A man with white shorts is walking near a man with a white shirt down a busy street.","A man with a red shirt is walking near a man with a black pants down a busy street.","A man with a red shirt is walking near a man with a white shirt down a busy street.","Two men are outside.","entailment"
"Female bicyclist wearing red bicycle shorts.","Female bicyclist wearing black bicycle shorts.","Female bicyclist wearing top.","Female bicyclist wearing white helmet.","A woman is on a bicycle","entailment"
"Man in white sneakers juggling knives in a city park.","Man in black socks juggling knives in a city park.","black denim shorts juggling knives.","Man in yellow t - shirt juggling knives in a city park.","Man juggling knives to raise funds for cancer","neutral"
"long hair pulled into a thick framed black glasses.","a man with long hair stirring a pot of boiling water.","a man with long hair stands at a stove.","long hair pulled into a ponytail.","A man is cooking something.","entailment"
"A fluffy brown dog is holding a tennis ball in its mouth.","A fluffy white dog is holding a tennis ball in its mouth.","A fluffy brown dog is jumping over an obstacle.","A fluffy white dog is jumping over an obstacle.","There is a dog playing with a ball.","entailment"
"a woman looking ahead at a city view in the distance.","a woman are sitting together in the dark.","A man looking ahead at a city view in the distance.","A man are sitting together in the dark.","The people are standing.","contradiction"
"children are sitting outside near benches.","children are sitting outside on.","Adults are sitting outside near benches.","Adults are sitting outside on.","Adults and children are standing indoors on excercise balls.","contradiction"
"a woman having a conversation.","a woman sitting down .","A man having a conversation.","A man sitting down .","The man and the woman are about to catch the buss at the buss station","neutral"
"a striped short shirt is sitting on a sleeping.","a striped short shirt is sitting on a stoop.","A man in jeans is sitting on a sleeping.","A man in jeans is sitting on a stoop.","Man sitting outside taking a nap.","entailment"
"A child in a dog pose for a picture outdoors.","A child in a black bike helmet pose outdoors for a picture.","A child in jeans pose for a picture outdoors.","A child in a red sweatshirt pose for a picture outdoors.","The child is holding the dog.","neutral"
"A man in brown short looking at his device.","A man in brown short is standing in front of a tree.","a tree looking at his device.","A man in a red shirt is standing in front of a tree.","Outside, a man wearing a red shirt and brown shorts is looking at his iPhone under a weeping willow.","neutral"
"Bicyclist riding on a grass field wearing a yellow uniform.","Bicyclist riding on a grass field wearing a red uniform.","Bicyclist riding on a grass field wearing a helmet.","Bicyclist riding on a grass field wearing shades.","The man is fishing to salmon.","contradiction"
"A man with white shorts is walking near a man with a black pants down a busy street.","A man with white shorts is walking near a man with a white shirt down a busy street.","A man with a red shirt is walking near a man with a black pants down a busy street.","A man with a red shirt is walking near a man with a white shirt down a busy street.","people are sitting inside watching tv","contradiction"
"a young girl to work together on a puzzle.","a young girl begin .","A older gentleman to work together on a puzzle.","A older gentleman begin .","Older man teaching young girl to read.","contradiction"
"women , in casual clothes sitting on stools under yellow tents.","women , in casual clothes sitting on stools under green tents.","Many men , in casual clothes sitting on stools under yellow tents.","Many men , in casual clothes sitting on stools under green tents.","The men and women were at church in expensive clothes.","contradiction"
"two girls stand behind a large sand castle.","two girls stand on a white sanded beach.","a white sanded beach facing away from the water.","A boy stand on a white sanded beach.","The boy and girl are related.","neutral"
"A group of performing for a group of people.","A group of three individuals singing .","an event geared towards epilepsy.","three individuals involved in an event.","Someone sits alone in a car.","contradiction"
"vegetable stand waiting for their next customers.","2 children working at vegetable stand.","a fruit stand waiting for their next customers.","2 children working at a fruit stand.","These people are working","entailment"
"a woman pretend to smoke large , fake cigars.","A man pretend to smoke large , fake cigars.","a woman wear funny masks.","A man wear funny masks.","A man is at an important business meeting.","contradiction"
"bride make their way down the aisle as wife.","bride make their way down the aisle as man.","A groom make their way down the aisle as wife.","A groom make their way down the aisle as man.","A married couple walks down an aisle.","entailment"
"A man in a black jacket stands on top of a big rock.","a big rock looking down on valleys.","a big rock looking down on hills.","A man in shorts stands on top of a big rock.","The man is standing on a rock outside.","entailment"
"the water dressed in a green leafy headwear.","the water dressed in a white shirt.","the water dressed in a blue dress.","A woman looks out over the water.","A woman in a bathing suit dives into the waves.","contradiction"
"A man in tie is standing on a sidewalk.","A man in pants is standing on a sidewalk.","a sidewalk holding a green shopping bag.","A man in a dress shirt is standing on a sidewalk.","man just finished shopping","neutral"
"a light pole waiting to cross the street.","a microphone standing next to a light pole.","a microphone talking on the phone.","A lady wearing a headset.","A woman wearing a scarf and sunglasses awaits the crossing sign.","contradiction"
"a silver butterfly ring reads a book.","A woman with a white jacket reads a book.","a silver butterfly ring waits .","A woman with a white jacket waits .","a woman is outside","neutral"
"Two people looking at a purple sky.","Two people looking at a purple ocean.","a fenced jetty overlooking the ocean.","Two people stand at the end of a fenced jetty.","Two people watching the sunset.","neutral"
"some the items is selling he.","a stand making bubbles with some the items.","Some people are watching a owner of a stand.","Some people are watching a little girl.","The girl is playing with a frisbee.","contradiction"
"An African - American man in a tan pants is sitting outside with buckets.","An African - American man in a tan pants is sitting outside with drumsticks.","An African - American man in a black sweatshirt is sitting outside with buckets.","An African - American man in a black sweatshirt is sitting outside with drumsticks.","An African-American woman is standing by other individuals on the street watching a street drummer","neutral"
"a woman are facing each other.","A man are facing each other.","a woman are sitting in a bar.","A man are sitting in a bar.","The two people that are in the bar are looking at each other and are about to kiss.","neutral"
"A child in a dog pose for a picture outdoors.","A child in a black bike helmet pose outdoors for a picture.","A child in jeans pose for a picture outdoors.","A child in a red sweatshirt pose for a picture outdoors.","The child is wearing jeans.","entailment"
"woman are sitting at a table with a Jenga game in front of a few beer bottles.","woman are sitting at a table with a Jenga game in front of them.","A man are sitting at a table with a Jenga game in front of a few beer bottles.","A man are sitting at a table with a Jenga game in front of them.","A couple people don't drink.","contradiction"
"two adults making ice cream sundaes.","two adults are sitting at a table.","Three kids making ice cream sundaes.","Three kids are sitting at a table.","There are people making sundaes","entailment"
"woman smiling .","A man smiling .","woman are dancing in a nightclub.","A man are dancing in a nightclub.","The man and woman are meeting for the first time.","neutral"
"bride make their way down the aisle as wife.","bride make their way down the aisle as man.","A groom make their way down the aisle as wife.","A groom make their way down the aisle as man.","Dale walks with his new wife glad that her dad didn't shoot him for knocking her up.","neutral"
"A person is sliding down a slide with a boots on.","A person is sliding down a slide with a gloves on.","A person is sliding down a slide with a jacket on.","A person is sliding down a slide with a coat on.","A man is working at an office.","contradiction"
"A female golfer in a white jacket makes a putt during a sunny day on the green.","A female golfer in a black jacket makes a putt during a sunny day on the green.","A female golfer in a white hat makes a putt during a sunny day on the green.","A female golfer in red pants makes a putt during a sunny day on the green.","The woman is skiing down a mountain.","contradiction"
"A dark - haired woman checks her cellphone while sitting at a small table with a cold drink.","A dark - haired woman checks her cellphone while sitting at a small table with a book.","A dark - haired woman with a small star tattoo on her arm wears jeans.","A dark - haired woman with a small star tattoo on her arm wears a gray t - shirt.","A woman is eating a taco and reading a book.","contradiction"
"Old man in jeans works on wood.","a workshop surrounded by other projects.","wood carving in a workshop.","Old man in a light blue shirt works on wood.","A man is working on a woodworking project.","entailment"
"A white dog is catching a blue ball.","A brown dog is catching a blue ball.","A white dog is jumping high.","A brown dog is jumping high.","The dogs are both black.","contradiction"
"A skateboarder in a shorts skates alone in a wide open space.","A skateboarder in a tan skates alone in a wide open space.","A skateboarder in a black shirt skates alone in a wide open space.","A skateboarder in a red baseball cap skates alone in a wide open space.","A skateboarder is skating in an empty parking lot.","neutral"
"A man in a cloth getting ready to smoke.","A man in a cloth wrapped around his head.","A man in a blue long sleeves shirt getting ready to smoke.","A man in a blue long sleeves shirt wrapped around his head.","A man wearing a turban prepares his hookah.","neutral"
"A girl in yellow shorts is yelling into a microphone on a stage.","A girl in a blue shirt is yelling into a microphone on a stage.","A girl in yellow shorts is jumping in the air.","A girl in a blue shirt is jumping in the air.","A girls jumps and yells in front of a crowd.","neutral"
"the other man holding a drill.","the other man is wearing a black shirt.","one man is wearing a white shirt.","Two men work on a metal roof in the sunlight.","2 women sit in a cafe drinking coffee","contradiction"
"People stand in line in front of a store tobacco.","People stand in line in front of a store wine.","People stand in line in front of a store ice.","People stand in line in front of a store advertising beer.","The people stand in front of the movie theater.","contradiction"
"a woman face the opposite way of the camera.","A man face the opposite way of the camera.","a woman sit on a car.","A man sit on a car.","A young couple is having an argument while sitting on their car.","neutral"
"shirt is standing next to a microphone in front of a pink background.","A man in black pants is standing next to a microphone in front of a pink background.","shirt is holding a guitar.","A man in black pants is holding a guitar.","A tall person in pants","neutral"
"groom leaving the wedding amidst family.","groom leaving the wedding amidst many friends.","A happy bride leaving the wedding amidst family.","A happy bride leaving the wedding amidst many friends.","A couple just got married.","entailment"
"A woman is holding a brown umbrella for a lady.","a race wearing number 13406.","a lady running in a race.","A woman is holding a pink umbrella for a lady.","A woman is covering her running partner from the rain with her colorful umbrella.","entailment"
"a boy examine the contents of a pickup truck bed.","a pickup truck bed filled with freshly harvested vegetables.","a pickup truck bed filled with freshly harvested fruits.","Two young adults examine the contents of a pickup truck bed.","The pickup truck is empty.","contradiction"
"Some female athletes in black shorts are jumping in the smiling.","Some female athletes in black shorts are jumping in the air.","Some female athletes in red shirts are jumping in the smiling.","Some female athletes in red shirts are jumping in the air.","Happy people play basketball.","neutral"
"A man in brown short looking at his device.","A man in brown short is standing in front of a tree.","a tree looking at his device.","A man in a red shirt is standing in front of a tree.","A young girl looking at her cellphone in the park.","contradiction"
"A group of children playing a game.","A group of children are sitting in a circle.","A group of native adults playing a game.","A group of native adults are sitting in a circle.","People are napping.","contradiction"
"people wearing yellow outfits.","people wearing orange outfits.","A group of people pose for a picture with a burning effigy in the background.","people wearing white outfits.","There is smoke behind the group of people.","entailment"
"A woman with ripped jeans stands by a man with a striped brown jacket.","A woman with ripped jeans stands by a man with brown pants.","A woman with a red shirt stands by a man with a striped brown jacket.","A woman with a red shirt stands by a man with brown pants.","Two people are standing next to each other.","entailment"
"A skateboarder in a shorts skates alone in a wide open space.","A skateboarder in a tan skates alone in a wide open space.","A skateboarder in a black shirt skates alone in a wide open space.","A skateboarder in a red baseball cap skates alone in a wide open space.","A surfer rides his board alone at the beach.","contradiction"
"A large group of people wearing hats.","A large group of people wearing blankets.","A large group of people wearing sweatshirts.","A large group of people sit outside.","A crowd of people in swimsuits cheers on the football team.","contradiction"
"women in dark tops are stretching their hands to the ceiling.","women in dark shorts are stretching their hands to the ceiling.","Men in dark tops are stretching their hands to the ceiling.","Men in dark shorts are stretching their hands to the ceiling.","The woman are sitting and drinking tea.","contradiction"
"the ground surrounded by smiling at the camera.","A young boy with blue stripes is sitting on the ground.","the ground surrounded by other children.","A young boy in a orange is sitting on the ground.","The children are in the classroom doing math problems.","contradiction"
"A gray dog is running through a forest.","A white dog is running through a forest.","a forest covered in leaves.","A large brown dog is running through a forest.","A small black dog is sitting on the couch.","contradiction"
"two girls are drinking wine.","A man are drinking wine.","two girls are talking .","A man are talking .","a group of people drinking wine","entailment"
"Old man in jeans works on wood.","a workshop surrounded by other projects.","wood carving in a workshop.","Old man in a light blue shirt works on wood.","A man is making something useful out of wood.","neutral"
"A black race car blows smoke out the back of the car.","A silver race car blows smoke out the back of the car.","A black race car turns sideways.","A silver race car turns sideways.","A toddler is driving a race car at a NASCAR event.","contradiction"
"A woman in jeans is walking next to a woman in a yellow scarf.","A woman in jeans is walking next to a woman in a gray shirt.","A woman in a peach tank top is walking next to a woman in a yellow scarf.","A woman in a peach tank top is walking next to a woman in a gray shirt.","Two woman are walking side by side.","entailment"
"staff sit on the paint in a recreation center.","Children sit on the paint in a recreation center.","staff sit on the floor in a recreation center.","Children sit on the floor in a recreation center.","People are laughing in a recreation center.","neutral"
"a child are walking past a building.","a child are walking past a tree.","A woman are walking past a building.","A woman are walking past a tree.","a woman takes her child to school","neutral"
